,Date,Account,Debit,Credit,Type
437,7/20/2022,CHK,45.00,,Entertainment
438,7/21/2022,CC  BofA,19.01,,Entertainment
439,7/21/2022,CC  BofA,35.00,,Medical
440,7/21/2022,CC  BofA,60.00,,Medical
441,7/21/2022,CC  BofA,80.10,,Gas & Fuel
442,7/22/2022,CC  BofA,117.30,,Pet
443,7/22/2022,CC  BofA,30.00,,Medical
444,7/23/2022,CC  BofA,91.00,,Food
445,7/23/2022,CC  BofA,21.44,,Food
446,7/24/2022,CC  BofA,45.21,,Food
447,7/28/2022,CC  BofA,,10.71,Household
448,7/28/2022,CC  BofA,46.76,,Entertainment
449,7/28/2022,CC  BofA,106.79,,Shopping
450,7/28/2022,CC  BofA,4.10,,Shopping
451,7/29/2022,CC  BofA,13.17,,Entertainment
452,7/29/2022,CC  BofA,2.67,,Entertainment
453,7/29/2022,CC  BofA,15.54,,Food
454,7/30/2022,CC  BofA,27.91,,Personal
455,7/31/2022,CC  BofA,632.35,,Household
456,7/31/2022,CC  BofA,1569.06,,Household
457,7/31/2022,CC  BofA,82.23,,Pet
458,7/31/2022,CC  BofA,59.59,,Shopping
459,7/31/2022,CC  BofA,30.20,,Entertainment
460,8/1/2022,CHK,1756.00,,ATM
461,8/1/2022,CHK,508.00,,Travel
462,8/2/2022,CC  BofA,243.73,,Insurance
463,8/2/2022,CC  BofA,49.68,,Entertainment
464,8/3/2022,CC  BofA,35.00,,Medical
465,8/4/2022,CC  BofA,208.07,,Shopping
466,8/4/2022,CC  BofA,395.75,,Shopping
467,8/4/2022,CC  BofA,24.66,,Entertainment
468,8/4/2022,CC  BofA,4.56,,Entertainment
469,8/4/2022,CC  BofA,22.46,,Entertainment
470,8/4/2022,CC  BofA,7.31,,Entertainment
471,8/5/2022,CC  BofA,140.88,,Shopping
472,8/5/2022,CC  BofA,48.63,,Entertainment
473,8/7/2022,CC  BofA,9.30,,Entertainment
474,8/7/2022,CC  BofA,25.40,,Entertainment
475,8/8/2022,CC  BofA,274.96,,Hobby
476,8/9/2022,CHK,,1000.00,Gift
477,8/9/2022,CHK,49.27,,Utility
478,8/9/2022,CC  BofA,,75.08,Household
479,8/9/2022,CC  BofA,40.95,,Entertainment
480,8/9/2022,CC  BofA,49.74,,Entertainment
481,8/9/2022,CC  BofA,625.38,,Shopping
482,8/9/2022,CC  BofA,59.46,,Household
483,8/10/2022,CHK,,1500.00,Gift
484,8/11/2022,CHK,,1500.00,Gift
485,8/11/2022,CHK,31.23,,Household
486,8/11/2022,CC  BofA,17.43,,Entertainment
487,8/12/2022,CHK,,1500.00,Gift
488,8/12/2022,CHK,,0.15,Miscellaneous
489,8/13/2022,CC  BofA,123.33,,Clothing
490,8/13/2022,CC  BofA,8.92,,Entertainment
491,8/14/2022,CC  BofA,82.80,,Self Care
492,8/16/2022,CHK,,1500.00,Gift
493,8/16/2022,CC  BofA,23.14,,Household
494,8/17/2022,CC  BofA,390.42,,Utility
495,8/17/2022,CC  BofA,129.60,,Self Care
496,8/17/2022,CC  BofA,71.91,,Food
497,8/17/2022,CC  BofA,35.00,,Medical
498,8/17/2022,CC  BofA,74.32,,Transportation
499,8/18/2022,CHK,,1500.00,Gift
500,8/18/2022,CC  BofA,,140.86,Shopping
501,8/18/2022,CC  BofA,,395.75,Shopping
502,8/18/2022,CC  BofA,195.00,,Gym
503,8/19/2022,CHK,,1500.00,Gift
504,8/19/2022,CC  BofA,20.22,,Gas & Fuel
505,8/20/2022,CC  BofA,14.59,,Transportation
506,8/20/2022,CC  BofA,85.80,,Clothing
507,8/21/2022,CC  BofA,63.48,,Entertainment
508,8/21/2022,CC  BofA,40.89,,Household
509,8/21/2022,CC  BofA,40.92,,Shopping
510,8/23/2022,CHK,1500.00,,Withdrawal
511,8/23/2022,CC  BofA,2.44,,Miscellaneous
512,8/24/2022,CHK,200.00,,Pet
513,8/24/2022,CC  BofA,2.13,,Technology
514,8/24/2022,CC  BofA,5.89,,Travel
515,8/25/2022,CC  BofA,82.23,,Pet
516,8/25/2022,CC  BofA,,555.19,Shopping
517,8/26/2022,CC  BofA,7.99,,Entertainment
518,8/28/2022,CC  BofA,65.00,,Auto
519,8/31/2022,CC  BofA,35.00,,Medical
520,9/2/2022,CHK,,1500.00,Gift
521,9/2/2022,CC  BofA,,150.04,Household
522,9/2/2022,CC  BofA,,36.14,Household
523,9/3/2022,CC  BofA,80.98,,Food
524,9/4/2022,CC  BofA,100.80,,Shopping
525,9/6/2022,CC  BofA,,4.64,Household
526,9/6/2022,CC  BofA,40.52,,Shopping
527,9/6/2022,CC  BofA,17.78,,Household
528,9/6/2022,CC  BofA,35.00,,Medical
529,9/6/2022,CC  BofA,70.00,,Gym
530,9/7/2022,CHK,,1500.00,Gift
531,9/7/2022,CHK,1741.00,,Rent
532,9/8/2022,CHK,5000.00,,Savings
533,9/8/2022,CHK,48.73,,Utility
534,9/8/2022,CC  BofA,,143.42,Rewards
535,9/9/2022,CHK,,1500.00,Gift
536,9/9/2022,CHK,,1000.00,ATM
537,9/9/2022,CHK,60.00,,ATM
538,9/9/2022,CC  BofA,207.00,,Pet
539,9/13/2022,CC  BofA,27.41,,Household
540,9/13/2022,CC  BofA,2.14,,Miscellaneous
541,9/14/2022,CC  BofA,5.00,,Entertainment
542,9/14/2022,CC  BofA,35.00,,Medical
543,9/15/2022,CHK,,500.00,Gift
544,9/15/2022,CC  BofA,28.16,,Entertainment
545,9/16/2022,CHK,25.00,,Entertainment
546,9/16/2022,CC  BofA,41.84,,Food
547,9/16/2022,CC  BofA,23.14,,Shopping
548,9/16/2022,CC  BofA,25.00,,Entertainment
549,9/16/2022,CC  BofA,69.99,,Gas & Fuel
550,9/17/2022,CC  BofA,123.34,,Personal
551,9/19/2022,CHK,126.54,,Self Care
552,9/20/2022,CC  BofA,82.23,,Pet
